Variant,Params,Acc,F1-macro,F1-S,F1-V,F1-F,AUC,Best Ep
HMR-BiLSTM (full),505,038,0.9119,0.5964,0.2674,0.8689,0.2958,0.9213,10
No-RMC (c_t = c_lstm),505,038,0.9136,0.5469,0.2018,0.8548,0.1767,0.9193,5
No-CNN (raw input),450,062,0.8639,0.4687,0.1725,0.6907,0.0861,0.8905,13
Mean-Pool (no attention),486,413,0.8876,0.4846,0.1179,0.7972,0.0810,0.8571,7
No-Smoothness (lambda=0),505,038,0.8938,0.5756,0.3001,0.8802,0.1794,0.9363,12
No-Adv-Training,505,038,0.8956,0.5097,0.2050,0.8350,0.0546,0.8697,4
No-Hybrid-Path (c_t = c_rmc),505,038,0.8490,0.4785,0.1795,0.7308,0.0860,0.8983,19
No-Interaction (m_t=0),505,038,0.9148,0.5972,0.2813,0.8497,0.3013,0.9419,12
