model,clean_f1,fgsm_f1,asr,recall_clean_S,recall_adv_S,recall_clean_V,recall_adv_V,recall_clean_F,recall_adv_F
LSTM,0.8583,0.7628,0.0492,0.8129496402877698,0.7248201438848921,0.9371546961325967,0.8846685082872928,0.808641975308642,0.6666666666666666
BiLSTM,0.8505,0.7886,0.0170,0.6780575539568345,0.6348920863309353,0.9585635359116023,0.9357734806629834,0.7777777777777778,0.6851851851851852
HMR-BiLSTM,0.8825,0.8425,0.0114,0.8111510791366906,0.7841726618705036,0.9447513812154696,0.9267955801104972,0.845679012345679,0.7962962962962963
