Model,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,AUC-N,AUC-S,AUC-V,AUC-F,AUC_OvR
Logistic Regression,0.5681,0.3418,0.4549,0.3195,0.6719,0.7071,0.5273,0.7850,0.8450,0.7161
Decision Tree,0.8053,0.3560,0.4269,0.3759,0.8309,0.7389,0.6276,0.8200,0.2961,0.6206
LSTM,0.8321,0.4286,0.4891,0.4338,0.8563,0.8575,0.7976,0.9757,0.8210,0.8629
BiLSTM,0.8507,0.4332,0.5000,0.4334,0.8636,0.8419,0.6898,0.9847,0.8153,0.8329
ResNet1D,0.8690,0.4980,0.4848,0.4371,0.8837,0.9391,0.9485,0.9886,0.4479,0.8310
HMR-BiLSTM,0.8784,0.5537,0.7052,0.5644,0.8993,0.9211,0.8991,0.9953,0.9339,0.9374
