model,clean_f1,fgsm_f1,f1_drop_pct,asr,recall_clean_S,recall_adv_S,recall_clean_V,recall_adv_V,recall_clean_F,recall_adv_F
BiLSTM,0.43342893850710684,0.38171217395171647,11.932005447887828,0.05599276566624303,0.20195971692977682,0.1246597713663582,0.949363156259708,0.9350730040385212,0.13917525773195877,0.09020618556701031
HMR-BiLSTM,0.25991989305926905,0.2232402796526084,14.111891542790325,0.08813720819437827,0.2667392487751769,0.1894393032117583,0.26250388319353835,0.20751786269027647,0.0,0.0
HMR-BiLSTM (no Adv),0.2927165763981764,0.17792446134512974,39.216130656330606,0.17687341727003603,0.11268372346216658,0.0587915078933043,0.16247281764523144,0.07269338303821063,0.0,0.0
LSTM,0.4338125711444454,0.41008489960801553,5.4695675309347624,0.030321563830537978,0.1175830157866086,0.07566684812193794,0.842497670083877,0.8014911463187325,0.09020618556701031,0.06443298969072164
